남아메리카,콜롬비아,4397000 (persons),4368000 (persons),6655000000 (current US$),12.387 (% of total exports),5531000000 (current US$),8.605 (% of total imports),4531000 (persons),4479000 (persons),6784000000 (current US$),13.218 (% of total exports),5658000000 (current US$),8.642 (% of total imports),1396000 (persons),1275000 (persons),1959000000 (current US$),5.125 (% of total exports),1576000000 (current US$),3.071 (% of total imports)
남아메리카,코스타리카,3313000 (persons),1079000 (persons),4073000000 (current US$),18.961 (% of total exports),1198000000 (current US$),5.826 (% of total imports),3366000 (persons),1153000 (persons),4282000000 (current US$),18.832 (% of total exports),1330000000 (current US$),6.547 (% of total imports),1146500 (persons),324000 (persons),1479000000 (current US$),7.397 (% of total exports),697000000 (current US$),3.979 (% of total imports)
남아메리카,쿠바,4712000 (persons),552000 (persons),2783000000 (current US$),-,-,-,4276000 (persons),650000 (persons),2645000000 (current US$),-,-,-,1086000 (persons),271000 (persons),1152000000 (current US$),-,-,-
남아메리카,도미니카연방,199000 (persons),-,111000000 (current US$),70.904 (% of total exports),28000000 (current US$),6.664 (% of total imports),322000 (persons),-,-,-,31000000 (current US$),7.277 (% of total imports),140000 (persons),-,-,-,9000000 (current US$),2.967 (% of total imports)
남아메리카,도미니카공화국,7551000 (persons),514000 (persons),7561000000 (current US$),37.708 (% of total exports),1006000000 (current US$),4.172 (% of total imports),7550000 (persons),532000 (persons),-,-,1060000000 (current US$),4.322 (% of total imports),2748000 (persons),210000 (persons),-,-,444000000 (current US$),2.187 (% of total imports)
남아메리카,에콰도르,2535000 (persons),1402000 (persons),2279000000 (current US$),8.970 (% of total exports),1523000000 (current US$),5.792 (% of total imports),2108000 (persons),1515000 (persons),2288000000 (current US$),8.791 (% of total exports),1650000000 (current US$),6.373 (% of total imports),-,-,705000000 (current US$),3.147 (% of total exports),533000000 (current US$),2.681 (% of total imports)
남아메리카,엘살바도르,2536000 (persons),1788000 (persons),1370000000 (current US$),18.110 (% of total exports),490000000 (current US$),3.976 (% of total imports),2639000 (persons),1899000 (persons),1664000000 (current US$),20.654 (% of total exports),504000000 (current US$),4.042 (% of total imports),707000 (persons),515000 (persons),755000000 (current US$),12.431 (% of total exports),162000000 (current US$),1.558 (% of total imports)
남아메리카,그레나다,529000 (persons),-,548000000 (current US$),88.206 (% of total exports),42000000 (current US$),6.133 (% of total imports),526000 (persons),-,-,-,48000000 (current US$),6.600 (% of total imports),217000 (persons),-,-,-,12000000 (current US$),2.043 (% of total imports)
남아메리카,과테말라,2406000 (persons),1538000 (persons),1235099976 (current US$),9.251 (% of total exports),1105000000 (current US$),5.220 (% of total imports),2560000 (persons),1703000 (persons),1227199951 (current US$),9.025 (% of total exports),1128000000 (current US$),5.240 (% of total imports),594000 (persons),507800 (persons),298500000 (current US$),2.348 (% of total exports),346000000 (current US$),1.796 (% of total imports)
남아메리카,가이아나,287000 (persons),-,-,-,-,-,315000 (persons),-,-,-,-,-,86400 (persons),-,-,-,-,-
남아메리카,아이티,1333000 (persons),-,620000000 (current US$),34.769 (% of total exports),599000000 (current US$),10.649 (% of total imports),938000 (persons),-,-,-,554000000 (current US$),10.734 (% of total imports),-,-,-,-,-,-
남아메리카,온두라스,2323000 (persons),703000 (persons),601000000 (current US$),8.363 (% of total exports),558000000 (current US$),4.624 (% of total imports),2315000 (persons),-,556000000 (current US$),7.676 (% of total exports),655000000 (current US$),5.539 (% of total imports),669000 (persons),-,189000000 (current US$),3.015 (% of total exports),230000000 (current US$),2.314 (% of total imports)
남아메리카,자메이카,4319000 (persons),-,-,-,505000000 (current US$),6.407 (% of total imports),4233000 (persons),-,-,-,508000000 (current US$),6.114 (% of total imports),1329700 (persons),-,-,-,291000000 (current US$),4.921 (% of total imports)
남아메리카,니카라과,1412000 (persons),974000 (persons),-,-,349000000 (current US$),5.167 (% of total imports),1455000 (persons),949000 (persons),-,-,312000000 (current US$),4.991 (% of total imports),474000 (persons),325000 (persons),-,-,102000000 (current US$),1.714 (% of total imports)
남아메리카,파나마,2487000 (persons),1020000 (persons),7139000000 (current US$),25.227 (% of total exports),1395000000 (current US$),4.783 (% of total imports),2494000 (persons),1226000 (persons),7052000000 (current US$),24.849 (% of total exports),1623000000 (current US$),5.947 (% of total imports),647000 (persons),401000 (persons),1841000000 (current US$),9.302 (% of total exports),601000000 (current US$),3.412 (% of total imports)
남아메리카,파라과이,4183000 (persons),1266000 (persons),393000000 (current US$),2.567 (% of total exports),549000000 (current US$),3.750 (% of total imports),4368000 (persons),1192000 (persons),409000000 (current US$),2.856 (% of total exports),552000000 (current US$),3.956 (% of total imports),1077000 (persons),214000 (persons),104000000 (current US$),0.843 (% of total exports),226000000 (current US$),2.058 (% of total imports)
남아메리카,페루,5384000 (persons),3078000 (persons),4505000000 (current US$),8.125 (% of total exports),3353000000 (current US$),6.494 (% of total imports),5275000 (persons),3275000 (persons),4703000000 (current US$),8.602 (% of total exports),3627399902 (current US$),7.005 (% of total imports),1119000 (persons),791000 (persons),1002000000 (current US$),2.200 (% of total exports),938000000 (current US$),2.217 (% of total imports)
남아메리카,푸에르토리코,4260000 (persons),-,3303000000 (current US$),-,893000000 (current US$),-,4931000 (persons),-,3612000000 (current US$),-,-,-,3882000 (persons),-,2921000000 (current US$),-,-,-
남아메리카,세인트키츠네비스,1278000 (persons),-,367000000 (current US$),62.915 (% of total exports),56000000 (current US$),9.616 (% of total imports),1107000 (persons),-,-,-,60000000 (current US$),9.984 (% of total imports),301400 (persons),-,-,-,18000000 (current US$),4.183 (% of total imports)
남아메리카,세인트루시아,1165000 (persons),-,989000000 (current US$),88.775 (% of total exports),85000000 (current US$),8.618 (% of total imports),1220000 (persons),-,-,-,92000000 (current US$),9.480 (% of total imports),432500 (persons),-,-,-,28000000 (current US$),4.198 (% of total imports)
남아메리카,세인트빈센트그레나딘,356000 (persons),-,231000000 (current US$),71.786 (% of total exports),40000000 (current US$),8.841 (% of total imports),392000 (persons),-,255000000 (current US$),77.590 (% of total exports),40000000 (current US$),9.384 (% of total imports),-,-,85000000 (current US$),46.039 (% of total exports),13000000 (current US$),3.466 (% of total imports)
남아메리카,수리남,-,-,73000000 (current US$),3.265 (% of total exports),104000000 (current US$),5.025 (% of total imports),-,-,64000000 (current US$),2.799 (% of total exports),94000000 (current US$),3.896 (% of total imports),-,-,19000000 (current US$),0.777 (% of total exports),64000000 (current US$),3.469 (% of total imports)
남아메리카,트리니다드토바고,501000 (persons),-,541000000 (current US$),4.676 (% of total exports),149000000 (current US$),1.630 (% of total imports),480000 (persons),-,481000000 (current US$),5.028 (% of total exports),133000000 (current US$),1.671 (% of total imports),141000 (persons),-,151000000 (current US$),2.345 (% of total exports),42000000 (current US$),0.619 (% of total imports)
남아메리카,터크스케이커스제도,1463000 (persons),-,-,-,-,-,1599000 (persons),-,-,-,-,-,370400 (persons),-,-,-,-,-
남아메리카,미국령버진아일랜드,1922000 (persons),-,993000000 (current US$),-,-,-,2074000 (persons),-,1031000000 (current US$),-,-,-,8612000 (persons),-,686000000 (current US$),-,-,-
남아메리카,우루과이,3954000 (persons),1947000 (persons),2708000000 (current US$),15.699 (% of total exports),1252000000 (current US$),8.960 (% of total imports),3480000 (persons),2199000 (persons),2335000000 (current US$),13.558 (% of total exports),1424000000 (current US$),10.545 (% of total imports),-,-,1085000000 (current US$),7.874 (% of total exports),412000000 (current US$),3.629 (% of total imports)
유럽,알바니아,5927000 (persons),5415000 (persons),2306000000 (current US$),48.195 (% of total exports),1750000000 (current US$),25.531 (% of total imports),6406000 (persons),5922000 (persons),2458000000 (current US$),50.971 (% of total exports),1852000000 (current US$),26.741 (% of total imports),2658000 (persons),2907000 (persons),1243000000 (current US$),35.916 (% of total exports),805000000 (current US$),14.194 (% of total imports)
유럽,안도라,8328000 (persons),-,-,-,-,-,8235000 (persons),-,1910000000 (current US$),81.802 (% of total exports),187000000 (current US$),9.202 (% of total imports),5207000 (persons),-,-,-,-,-
유럽,오스트리아,30816000 (persons),11043000 (persons),25413000000 (current US$),10.076 (% of total exports),14109000000 (current US$),5.905 (% of total imports),31884000 (persons),11902000 (persons),25924000000 (current US$),10.464 (% of total exports),13922000000 (current US$),6.001 (% of total imports),15091000 (persons),3964000 (persons),15362000000 (current US$),6.836 (% of total exports),5551000000 (current US$),2.622 (% of total imports)
유럽,벨라루스,11502000 (persons),9326000 (persons),1221000000 (current US$),2.889 (% of total exports),1170000000 (current US$),2.830 (% of total imports),11832000 (persons),9221000 (persons),1290000000 (current US$),3.073 (% of total exports),1224500000 (current US$),2.889 (% of total imports),3598000 (persons),2810000 (persons),542000000 (current US$),1.458 (% of total exports),477000000 (current US$),1.354 (% of total imports)
